function name,avg time,min time,max time,std dev
copy_matrix_5000,0.14733333333333332,0.145,0.15,0.0025166114784235852
copy_matrix_7000,0.2833333333333333,0.282,0.284,0.0011547005383792527
copy_matrix_9000,0.4643333333333334,0.463,0.466,0.001527525231651948
look_and_say_sequence_40,0.06107476333333333,0.05976766,0.06238903,0.0013106996811754134
look_and_say_sequence_45,0.0828464,0.08109767,0.08535203,0.002225885882047864
look_and_say_sequence_48,0.12275947333333334,0.12235614,0.12325866,0.00045883165075366735
count_words_bible,0.7507032466666667,0.74416143,0.75507486,0.005771314882436535
count_words_book1,0.20076725666666667,0.19715572,0.20680799,0.005264724719511294
count_words_plrabn12,0.15091548666666668,0.1493196,0.15361909,0.0023540774679762276
count_words_world192,0.40224820666666666,0.39613695,0.41132075,0.00801335508084058
iterative_fibonacci_25,1.9666666666666668e-06,1.66e-06,2.32e-06,3.3246553706111144e-07
recursive_fibonacci_25,0.0031255233333333334,0.00306203,0.00316832,5.608613940478827e-05
iterative_fibonacci_35,2.1033333333333332e-06,1.9e-06,2.31e-06,2.0502032419575702e-07
recursive_fibonacci_35,0.03804452,0.03698612,0.03867452,0.0009221271929620128
iterative_fibonacci_45,1.9633333333333333e-06,1.9e-06,2.08e-06,1.011599393699568e-07
recursive_fibonacci_45,4.144946783333333,4.13692217,4.15754113,0.011042971743318801
matrix_multiplication_1500,23.121666666666666,23.012,23.252,0.12132738080636686
matrix_multiplication_1750,36.11066666666667,35.735,36.771,0.5736726708963343
matrix_multiplication_2000,57.25066666666667,57.052,57.6,0.30348201484327486
belief_propagation_250,46.007333333333335,45.338,46.38,0.5809038933707832
belief_propagation_500,90.37166666666667,89.932,90.615,0.3814870028367031
belief_propagation_1000,181.172,179.537,183.25,1.8957265098109441
markov_chain_function_5000,0.010666666666666666,0.002,0.027,0.014153915830374763
markov_chain_function_10000,0.0036666666666666666,0.003,0.004,0.0005773502691896258
markov_chain_function_15000,0.004666666666666667,0.004,0.005,0.0005773502691896258
iterative_solver_100,0.3496666666666666,0.344,0.355,0.005507570547286107
iterative_solver_150,1.4313333333333333,1.426,1.435,0.004725815626252675
iterative_solver_200,3.97,3.964,3.974,0.00529150262212927
compute_quadrature_50,,,,
compute_quadrature_75,,,,
compute_quadrature_100,,,,
evaluate_functions_80000,295.2406666666667,294.872,295.562,0.3474267308848478
evaluate_functions_90000,331.48266666666666,331.261,331.656,0.20188693205190203
evaluate_functions_100000,367.8426666666667,367.719,368.062,0.19046346981333537
find_pernicious_numbers_100000,0.009666666666666667,0.009,0.01,0.0005773502691896263
find_munchausen_numbers_0,4.887770026666667,4.87295038,4.91559282,0.024112357614188715
elapsed_time 4405274 ms
