function name,avg time,min time,max time,std dev
copy_matrix_5000,0.14733333333333332,0.147,0.148,0.0005773502691896263
copy_matrix_7000,0.28633333333333333,0.285,0.287,0.0011547005383792527
copy_matrix_9000,0.507,0.473,0.572,0.056311632901204334
look_and_say_sequence_40,0.06493920333333333,0.06005396,0.07332289,0.007293521450824241
look_and_say_sequence_45,0.08109823333333334,0.0798693,0.08239527,0.0012643613637854235
look_and_say_sequence_48,0.1275985,0.12141006,0.13618986,0.007677313358512856
count_words_bible,0.8598605466666667,0.75426861,1.01859365,0.13994613031009903
count_words_book1,0.22174326666666666,0.1965698,0.26369338,0.03657165094766345
count_words_plrabn12,0.16819007,0.14852564,0.20465843,0.031614894842142055
count_words_world192,0.43373039,0.40412145,0.48038703,0.04089104705985895
iterative_fibonacci_25,1.74e-06,1.7e-06,1.81e-06,6.082762530298223e-08
recursive_fibonacci_25,0.0028075066666666667,0.00205439,0.00350293,0.0007259913384010399
iterative_fibonacci_35,1.8733333333333333e-06,1.79e-06,1.98e-06,9.712534856222314e-08
recursive_fibonacci_35,0.03858717666666667,0.03843796,0.03882483,0.00020804538503252856
iterative_fibonacci_45,1.98e-06,1.93e-06,2.06e-06,7.000000000000006e-08
recursive_fibonacci_45,4.241044316666667,4.23111401,4.25078254,0.009835671817188644
matrix_multiplication_1500,23.631666666666668,23.561,23.676,0.06185736280616317
matrix_multiplication_1750,37.239000000000004,36.612,38.069,0.7494124365127661
matrix_multiplication_2000,57.693,57.289,58.077,0.39438052690263337
belief_propagation_250,47.243,46.318,49.061,1.5745154810290054
belief_propagation_500,95.278,92.265,97.036,2.621426901517569
belief_propagation_1000,188.63833333333332,185.101,191.16,3.1546084278929647
markov_chain_function_5000,0.002,0.002,0.002,0.0
markov_chain_function_10000,0.0023333333333333335,0.002,0.003,0.0005773502691896258
markov_chain_function_15000,0.004,0.004,0.004,0.0
iterative_solver_100,0.354,0.35,0.357,0.0036055512754639926
iterative_solver_150,1.458,1.454,1.461,0.003605551275464054
iterative_solver_200,4.061333333333334,4.051,4.072,0.010503967504392444
compute_quadrature_50,,,,
compute_quadrature_75,,,,
compute_quadrature_100,,,,
evaluate_functions_80000,303.57133333333337,303.463,303.776,0.17734805703286086
evaluate_functions_90000,339.91700000000003,338.891,340.747,0.9433959932075139
evaluate_functions_100000,378.3546666666667,378.013,378.57,0.2992195403601494
find_pernicious_numbers_100000,0.007,0.007,0.007,0.0
find_munchausen_numbers_0,5.02775164,5.00149691,5.06881874,0.03602238092353
elapsed_time,4598200 ms
