function name,avg time,min time,max time,std dev
copy_matrix_5000,0.14733333333333332,0.146,0.149,0.001527525231651948
copy_matrix_7000,0.283,0.281,0.286,0.002645751311064572
copy_matrix_9000,0.475,0.466,0.481,0.007937253933193746
look_and_say_sequence_40,0.08058380333333333,0.07388829,0.08703788,0.006578118883087577
look_and_say_sequence_45,0.11027844333333334,0.10375339,0.1170041,0.006627632318485488
look_and_say_sequence_48,0.13379997333333332,0.13019023,0.13575938,0.0031299466873468272
count_words_bible,0.9175290166666666,0.83364072,1.03802948,0.10700013721769351
count_words_book1,0.28956164,0.28368994,0.29952027,0.008670471993836313
count_words_plrabn12,0.22706575333333334,0.2102492,0.25228958,0.02224545057561509
count_words_world192,0.5219572133333333,0.48245298,0.58271338,0.053401970514610514
iterative_fibonacci_25,1.79e-06,1.69e-06,1.9e-06,1.0535653752852745e-07
recursive_fibonacci_25,0.0018848866666666666,0.00122303,0.00263483,0.0007100100391074293
iterative_fibonacci_35,1.94e-06,1.79e-06,2.05e-06,1.3453624047073706e-07
recursive_fibonacci_35,0.03702606333333333,0.0364393,0.0379952,0.0008454958468457032
iterative_fibonacci_45,1.9233333333333333e-06,1.82e-06,2.06e-06,1.2342339054382426e-07
recursive_fibonacci_45,4.135370886666666,4.13224354,4.13904614,0.0034342383400881383
matrix_multiplication_1500,39.74766666666667,38.324,41.501,1.6139523950021983
matrix_multiplication_1750,74.736,73.463,75.375,1.1024531736087526
matrix_multiplication_2000,106.27366666666667,102.681,108.974,3.2400086934039773
belief_propagation_250,45.480666666666664,45.367,45.576,0.10569925890626541
belief_propagation_500,91.094,90.63,91.877,0.6819626089456786
belief_propagation_1000,182.99099999999999,181.26,186.136,2.7282578690439077
markov_chain_function_5000,0.003,0.001,0.006,0.0026457513110645908
markov_chain_function_10000,0.0023333333333333335,0.002,0.003,0.0005773502691896258
markov_chain_function_15000,0.004,0.003,0.005,0.001
iterative_solver_100,0.351,0.348,0.354,0.0030000000000000027
iterative_solver_150,1.459,1.457,1.461,0.0020000000000000018
iterative_solver_200,4.029,4.024,4.034,0.004999999999999893
compute_quadrature_50,,,,
compute_quadrature_75,,,,
compute_quadrature_100,,,,
evaluate_functions_80000,297.14366666666666,295.281,298.629,1.7055970606603883
evaluate_functions_90000,332.0283333333333,331.685,332.27,0.30546412773569287
evaluate_functions_100000,368.135,367.729,368.565,0.41851642739563444
find_pernicious_numbers_100000,0.013,0.01,0.015,0.0026457513110645903
find_munchausen_numbers_0,4.87650442,4.87177097,4.88337308,0.006088643561672857
elapsed_time,4738694 ms
